airline_sentiment,text
neutral,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
neutral,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
positive,@VirginAmerica this is great news!America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
neutral,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
neutral,@VirginAmerica when can I book my flight to Hawaii??
negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
positive,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
neutral,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!🍷👍💺✈️
neutral,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
neutral,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!
neutral,@VirginAmericaDREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
positive,@VirginAmerica wow this just blew my mind
neutral,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
neutral,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
positive,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
neutral,@VirginAmerica wish you flew out of Atlanta... Soon?
neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
neutral,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
negative,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
positive,@VirginAmerica @ladygaga @carrieunderwoodI'm Lady Gaga!!! She is amazing! 😊
neutral,@VirginAmerica @ladygaga @carrieunderwood - Carrie!
neutral,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
neutral,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌"
neutral,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
positive,@VirginAmerica @ladygaga @carrieunderwoodlove all three but you really can't beat the classics!
neutral,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
negative,@VirginAmerica everything was fine until you lost my bag
neutral,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
neutral,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.
neutral,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
neutral,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks
negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
neutral,@VirginAmerica what happened to Doom?!
negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAirand have customer service like @JetBlue #neverflyvirginforbusiness
positive,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
negative,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
neutral,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code
neutral,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
neutral,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHICan you help.VA home page will not let me ?
negative,@VirginAmerica Why is the site down?When will it be back up?
neutral,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
neutral,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
neutral,@VirginAmerica why is flight 345 redirected?
negative,"@VirginAmerica Is it me, or is your website down?BTW, your new website isn't a great user experience.Time for another redesign."
negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
negative,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
negative,@VirginAmerica is anyone doing anything there today?Website is useless and no one is answering the phone.
neutral,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM
negative,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?I missed my morning appointments and you lost my business. #sfo2lax
neutral,@VirginAmerica check out new music http://t.co/maRcnOCWzn
negative,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky
negative,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
positive,"@VirginAmerica - amazing customerservice, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
negative,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
negative,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
neutral,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?
positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
positive,@VirginAmerica Have a great week 🌞✈
positive,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
negative,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
positive,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
positive,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
positive,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
positive,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
negative,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
negative,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
positive,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
positive,@VirginAmerica you have the absolute best team and customer service ever.Every time I fly with you I'm delighted.Thank you!
neutral,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
negative,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
positive,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
neutral,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
neutral,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?
negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
neutral,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?
negative,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotlineShame on you!
negative,@VirginAmerica Another delayed flight? #likingyoulessandless
negative,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
neutral,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
positive,@VirginAmerica always!!! Xoxo
negative,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
negative,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
positive,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
neutral,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
negative,@VirginAmerica please provide status for flight 769.I cant imagine it's on time as the Web indicatesdude to weather here and/or Dallas
positive,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
negative,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
negative,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
positive,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
positive,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
negative,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
negative,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
neutral,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
positive,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
neutral,@VirginAmerica is your website ever coming back online?
neutral,"@VirginAmerica- Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
neutral,@VirginAmerica Is flight 0769 out of LGA to DFW on time?
neutral,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
negative,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.phone is 30 minute wait.
negative,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
negative,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
negative,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
negative,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
negative,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
negative,@VirginAmerica is the website down?
negative,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
neutral,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
negative,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
negative,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
neutral,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
neutral,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
neutral,@VirginAmerica Lister to my show my on Monday 1230 130
neutral,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
negative,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
negative,@VirginAmericaI applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
neutral,@VirginAmerica I'd love to know what your policy is for damaged luggage.
positive,@VirginAmerica Thank you for the follow
negative,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
negative,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
neutral,@VirginAmerica @TTINAC11 I DM you
neutral,@VirginAmerica can you please have flights inSJC ? I have no choice but to fly Southwest to Vegas 😩😭
negative,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
negative,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
positive,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
positive,@VirginAmerica Only way to fly! #Elevate #Gold
neutral,@VirginAmerica If only you guys had flights from CMH.
negative,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
negative,@VirginAmericafor all my flight stuff wrong and did nothing about it. Had #worst #flight ever
neutral,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
positive,@VirginAmerica you will match my #AmericanAirlines status? Cool!
neutral,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉
negative,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
negative,@VirginAmerica you suck!
positive,@VirginAmerica thanks!
negative,@VirginAmerica Just DM'd. Same issue persisting.
negative,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
negative,@VirginAmerica trying to book a flight &amp; your site is down 😁
negative,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
negative,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.#expected better
positive,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
negative,@VirginAmerica Your website is down and I'm trying to check in!
positive,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
neutral,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
positive,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
positive,@VirginAmerica Keep up the great work :)
positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
neutral,@VirginAmerica can you please get me to the new york area before monday afternoon
positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
negative,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
negative,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!❄️❄️❄️
positive,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
negative,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
negative,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
neutral,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
negative,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
negative,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
negative,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
negative,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
positive,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
positive,@VirginAmerica wish I can afford to fly with you next Fridaygoing back home.. love everythingabout your airline
negative,@VirginAmericahow are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
neutral,"@VirginAmerica it’s just a bug report, guys"
negative,@VirginAmerica hold times at call center are a bit much
positive,@VirginAmerica Like http://t.co/VPqEm31XUQ
negative,@VirginAmerica Site down? #help
positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
positive,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
positive,@VirginAmerica thanks so much!
negative,"@VirginAmerica Trying to reset my password, email never arrives. Help?"
positive,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator@FastCompany's http://t.co/wU3LbCNcr9"
positive,@VirginAmerica Very nicely done. 👏
positive,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
negative,@VirginAmerica What is the reasonfor the delay of the departure of VX 413 from JFK this afternoon?
negative,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
positive,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
positive,@VirginAmerica sounds like fun !
neutral,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax
neutral,@virginamerica spruce moose!
negative,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
negative,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
positive,"@VirginAmerica classiq, luv Virgin America. Greetingz"
negative,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
positive,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
negative,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
negative,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
negative,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
positive,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
neutral,"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
positive,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
neutral,"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
neutral,@VirginAmerica any plans to start flying direct from DAL to LAS?
neutral,@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn
positive,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
negative,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒
neutral,@VirginAmerica Grand Budapest Hotel #OscarsCountdown
neutral,@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.
negative,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
negative,@VirginAmerica there is something wrong with you website in Safari iPhone
positive,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet
negative,@VirginAmerica Already checked in so the page expired :X
negative,@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
neutral,@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y
neutral,@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4
positive,@VirginAmerica I see what you did there ;)
neutral,@VirginAmerica way to take advantage of #MayweatherPacquiao :)
neutral,@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao
positive,@VirginAmerica your inflight team makes the experience #amazing!
positive,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
negative,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected👎 #DISAPPOINTED"
neutral,@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef
positive,@VirginAmerica fav airline
positive,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-)
neutral,👍👍✈️✈️💗 When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.”
neutral,@VirginAmerica what is your policy on flying after surgery?I am still waiting for answer so I can tell me doctor.
negative,@VirginAmerica already contacted Central Baggage &amp; sent DM. @RenttheRunway is charging me for the dress that was in the lost suitcase #help
positive,@VirginAmerica Thank you!!
negative,@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.
neutral,@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!
neutral,@VirginAmerica I need you to follow back in order to DM.
neutral,@VirginAmerica Need to start flying to @KCIAirport .😊😀😃😄
neutral,@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.
negative,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp; been told as Atlantic Flying Club Gold I get no benefits?!
negative,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!
negative,@VirginAmerica soooo are you guys going to leave the seatbelt light on all flight? You can barely call this turbulence :-)
neutral,@VirginAmerica what is your policy on flying after surgery?
neutral,@VirginAmerica posts second consecutive full-year net profit - @ATWOnline http://t.co/tvB5zbzVhg
negative,"@VirginAmerica Funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. I dislike this!"
positive,@VirginAmerica would love to do more for virgin just like I do for @GoPro
neutral,@VirginAmerica Results Handily Exceed Forecasts - @NYTimes http://t.co/gonmRwEM6I
neutral,"@VirginAmerica I applied for a position in @flyLAXairport ,and I was wondering if you guys received my application."
neutral,@VirginAmerica achieves a second year of profitability despite revenue pressure ... - @CAPA_Aviation http://t.co/zSuZTNAIJq
neutral,"@VirginAmerica gives positive outlook, but sees increased competition - @Reuters http://t.co/jEu7Od3eYJ"
negative,@VirginAmerica I'm trying to check into my 10:50AM CT flight tmm on the desktop website and it's not working (some sort of caching bug) SOS
neutral,@VirginAmerica weather delays &gt; next few weeks ;) #JFK #BOS #DCA
neutral,@VirginAmerica @madbee95 check the website before you go to the airport!
negative,@VirginAmerica Do you guys know your check-in links from emails are broken? http://t.co/2npXB6oBMr
neutral,@VirginAmerica pilot says we expect a choppy landing in NYC due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8
